,Unnamed: 0,ativos, v_firma , v_mercado ,  n_acao , div_yield , p_l , roic , lucro_2019 , lucro_2022 , caixa_2019 , caixa_2022 ,  valor_precovid
296,296,ATOM3,67.844.200,44.194.200,23.805.000,"2,1%",6.77,"85,6%",2.113.000,10.024.000,0,0,1.55
297,297,VALE3,364.437.000.000,405.736.000.000,4.539.010.000,"7,5%",3.8,"24,6%",-6.671.445.000,95.924.000.000,13.912.000.000,7.896.000.000,50.19
298,298,WEGE3,170.201.000.000,168.678.000.000,4.197.320.000,"1,4%",40.45,"26,8%",1.614.581.000,4.208.084.000,8.011.000,438.928.000,20.76
299,299,MTSA4,359.764.000,318.508.000,8.789.730,"6,5%",3.92,"29,1%",18.000.782,91.768.946,46.924.745,86.607.300,22.55
300,300,LUPA3,119.194.000,261.677.000,31.040.000,"0,0%",2.17,"-2,3%",-26.178.000,54.866.000,2.166.000,2.734.000,2.47
301,301,IGBR3,121.238.000,367.859.000,1.250.000,"0,0%",0.31,"-58,0%",-72.113.000,-54.161.000,2.626.000,724.000,28.0
302,302,UNIP3,6.886.980.000,6.864.760.000,103.876.000,"18,8%",5.19,"58,7%",173.505.000,1.325.921.000,166.461.000,62.709.000,33.27
303,303,TEKA4,8.279.380,510.931.000,503.000,"0,0%",-0.05,"-0,2%",-129.030.000,-159.690.000,166.000,402.000,7.5
304,304,INEP4,154.082.000,1.028.770.000,183.431.000,"0,0%",-0.44,"-5,5%",-451.099.000,-353.872.000,22.000,23.000,0.41
305,305,MOAR3,5.255.680.000,5.328.840.000,12.251.000,"1,8%",22.77,"-2,6%",100.132.000,230.767.000,202.798.000,146.577.000,190.0
306,306,MWET4,19.859.700,77.276.700,2.058.000,"0,0%",0.66,"3,4%",-39.112.000,29.916.000,444.000,1.223.000,4.87
307,307,SLCE3,9.684.350.000,11.902.800.000,212.423.000,"6,1%",7.64,"20,4%",311.514.000,1.267.459.000,622.535.000,845.445.000,19.5
308,308,TASA4,2.048.940.000,2.230.400.000,126.634.000,"9,4%",3.94,"38,0%",43.426.000,519.984.000,187.476.000,107.155.000,5.35
309,309,ENMT3,16.630.800.000,20.846.400.000,218.942.000,"5,7%",13.97,"18,1%",594.156.000,1.190.704.000,326.475.000,154.900.000,30.0
310,310,ENMT4,17.186.900.000,21.402.500.000,218.942.000,"5,5%",14.43,"18,1%",594.156.000,1.190.704.000,326.475.000,154.900.000,29.99
311,311,UNIP5,9.347.800.000,9.325.580.000,103.876.000,"15,2%",7.05,"58,7%",173.505.000,1.325.921.000,166.461.000,62.709.000,31.36
312,312,LUXM4,424.409.000,420.112.000,5.196.000,"0,9%",37.8,"14,7%",12.980.000,11.227.000,2.260.000,2.072.000,29.25
313,313,DEXP3,703.225.000,812.038.000,94.014.000,"5,1%",4.69,"19,1%",24.944.000,149.891.000,4.467.000,2.764.000,2.57
314,314,UNIP6,7.276.510.000,7.254.290.000,103.876.000,"19,6%",5.49,"58,7%",173.505.000,1.325.921.000,166.461.000,62.709.000,28.18
315,315,TASA3,1.979.290.000,2.160.750.000,126.634.000,"9,8%",3.81,"38,0%",43.426.000,519.984.000,187.476.000,107.155.000,4.95
316,316,INEP3,196.272.000,1.070.960.000,183.431.000,"0,0%",-0.55,"-5,5%",-451.099.000,-353.872.000,22.000,23.000,0.41
317,317,FESA4,4.682.730.000,4.153.160.000,88.320.000,"10,1%",4.41,"39,7%",221.176.000,1.062.276.000,222.473.000,355.370.000,18.76
318,318,PRIO3,27.672.700.000,27.282.500.000,887.229.000,"0,0%",8.07,"38,4%",842.346.000,3.427.072.000,14.300.000,17.148.000,8.73
319,319,RSUL4,409.296.000,379.058.000,5.938.710,"2,8%",6.12,"37,6%",17.304.000,66.642.000,99.000,1.053.000,13.5
320,320,FHER3,942.497.000,891.840.000,53.857.000,"0,0%",-6.26,"-1,4%",664.641.000,-150.571.000,19.829.000,62.393.000,3.45
